restaurant_id,restaurant_name,cuisine_type,restaurant_address,latitude,longitude,manhattan_region,restaurant_rating,review_count,price
w4cFJhUpjGXqqWBd3BbY4w,Freemans,American,"'Freeman Alley, New York, NY 10002'",40.721988,-73.992466,Downtown,4.0,2059,$$
ooYUO3Pq_qypc1NXFzeLYQ,City Vineyard,American,"'233 West St, New York, NY 10013'",40.7205582,-74.0118093,Downtown,4.0,901,$$
zUv1BNm_a9-3DkxrCG3tng,Friedman's,American,"'450 10th Ave, New York, NY 10018'",40.755311,-73.998389,Midtown,4.0,589,$$
1raNn0l3I4H9PcAJce69Sw,Sojourn,American,"'244 E 79th St, New York, NY 10075'",40.77343,-73.95568,Uptown,4.0,648,$$
nMWqlWid2YfDeutioit_0w,Bill's Bar & Burger,American,"'16 W 51st St, New York, NY 10019'",40.7594983,-73.977956,Midtown,3.5,1256,$$
N5UY113nNpeKdLPv0cbMjQ,The Wild Son,American,"'132 First Ave, New York, NY 10009'",40.727424,-73.985201,Downtown,4.5,491,$$
JEuIdK9hzci9g_TuwfnZ_w,Society Cafe,American,"'52 W 13th St, New York, NY 10011'",40.7362063,-73.9965962,Midtown,4.0,177,$$
MHtbBc2np3sR7jiV9GphNg,Tribeca's Kitchen,American,"'200 Church St, New York, NY 10013'",40.7162705535921,-74.0072225927912,Downtown,4.0,516,$$
Gc7OVEIs4HodL4hw9U3C3w,Copinette,American,"'891 1st Ave, New York, NY 10022'",40.75407,-73.96623,Midtown,4.0,116,
54SrQVVhGcvfuIkFabQ8KQ,P.J. Clarke's,American,"'915 Third Ave, New York, NY 10022'",40.7589148,-73.9680336,Midtown,3.5,900,$$
ddKmJRZ3D1iS-gbZq03OWQ,Friedmans,American,"'228 W 47th St, New York, NY 10036'",40.7595053740559,-73.9854379268717,Midtown,4.0,567,$$
FWjl6BrMie6H78OSWJG5Pg,Bareburger,American,"'313 W 57th St, New York, NY 10019'",40.76726,-73.98346,Uptown,4.0,400,$$
t7xqAMBQNH4ppsPSOMzFyg,Treadwell Park,American,"'1125 1st Ave, New York, NY 10065'",40.7614,-73.9609,Midtown,4.0,439,$$
JnFV_qz7uWbLTY80K89J7Q,Emmett's,American,"'50 Macdougal St, New York, NY 10012'",40.727303,-74.00243,Downtown,4.0,502,$$
XsElXaLxUPKquI78poB8yw,Maison Pickle,American,"'2315 Broadway, New York, NY 10024'",40.7870473,-73.9781361,Uptown,4.0,998,$$
DRitJoNGTkHXZvH_YpLIAw,Marc Forgione,American,"'134 Reade St, New York, NY 10013'",40.71647,-74.0095599,Downtown,4.5,927,$$$
2_oy2iBeT0Rg-oz4f0GF1A,The Jeffrey Craft Beer & Bites,American,"'311 E 60th St, New York, NY 10022'",40.7611,-73.963,Midtown,4.0,680,$$
01isnBO1rFO2LTOeNfYl9w,Hillstone Restaurant,American,"'378 Park Ave S, New York, NY 10010'",40.7427534,-73.9847308,Midtown,4.0,950,$$$
